timestamp,Open,High,Low,Close,Volume,trade_count,vwap
2015-12-01 05:00:00+00:00,32.0,32.78,31.97,32.75,10237433,57496,32.548577
2015-12-02 05:00:00+00:00,32.8,33.14,32.43,32.5,7356004,45711,32.752748
2015-12-03 05:00:00+00:00,32.81,33.1,32.27,32.43,6166405,39926,32.586531
2015-12-04 05:00:00+00:00,32.43,33.81,32.43,33.75,11468924,62693,33.485211
2015-12-07 05:00:00+00:00,33.74,33.74,33.01,33.11,8339679,51065,33.218717
2015-12-08 05:00:00+00:00,32.7,33.7,32.49,33.56,7818033,45766,33.324956
2015-12-09 05:00:00+00:00,33.55,33.75,32.37,32.71,9316871,56204,32.854815
2015-12-10 05:00:00+00:00,32.81,33.16,32.7,32.98,5914923,41120,32.924224
2015-12-11 05:00:00+00:00,32.65,32.88,32.42,32.49,5683038,37697,32.598228
2015-12-14 05:00:00+00:00,32.52,32.75,32.18,32.57,6908645,50357,32.442203
2015-12-15 05:00:00+00:00,32.94,33.2,32.76,32.97,7682354,47909,33.019842
2015-12-16 05:00:00+00:00,33.04,33.28,32.75,33.17,5908874,45610,33.013843
2015-12-17 05:00:00+00:00,33.22,33.56,32.65,32.67,6354044,35709,32.908478
2015-12-18 05:00:00+00:00,32.44,32.77,32.1,32.14,9897424,47901,32.282726
2015-12-21 05:00:00+00:00,32.49,32.93,32.2,32.895,7105373,36185,32.587096
2015-12-22 05:00:00+00:00,33.0,33.26,32.73,32.93,3250269,23710,32.944161
2015-12-23 05:00:00+00:00,32.98,33.185,32.92,33.055,3063139,23905,33.061738
2015-12-24 05:00:00+00:00,32.96,33.25,32.91,33.17,1311231,9858,33.153329
2015-12-28 05:00:00+00:00,32.82,33.14,32.36,33.14,3550703,25988,32.780491
2015-12-29 05:00:00+00:00,33.16,33.78,33.07,33.68,5091512,34036,33.554495
2015-12-30 05:00:00+00:00,33.65,33.94,33.38,33.39,4508570,29673,33.641199
2015-12-31 05:00:00+00:00,33.34,33.49,32.96,32.96,3713202,25888,33.234934
2016-01-04 05:00:00+00:00,32.29,32.58,32.04,32.37,8951907,56930,32.281567
2016-01-05 05:00:00+00:00,32.98,33.44,32.5,32.89,12256814,64463,33.039686
2016-01-06 05:00:00+00:00,32.35,32.5,31.16,31.53,11233604,70690,31.838691
2016-01-07 05:00:00+00:00,30.62,30.953,29.88,30.28,16132575,97954,30.343023
